"","price","accommodates","bedrooms","beds","review_scores_rating","occupancy_rate","total_reviews","availability_30","availability_60","availability_90","availability_365"
"price",1,0.605486165692756,0.557541788579331,0.542253055367443,0.110413851628543,0.0402981701501813,-0.00538433818789833,0.0939301261922018,0.0701263618251991,0.056490619256637,-0.0402981701501813
"accommodates",0.605486165692756,1,0.841412490618879,0.851722646043591,0.0949257701231678,-0.00708535114438985,-0.0329040019683764,0.0315122558514851,0.0141955240643921,0.00741174923080962,0.00708535114438985
"bedrooms",0.557541788579331,0.841412490618879,1,0.794342667194726,0.0981043189331647,0.0318790746804146,-0.0509297022831553,-0.0126637584654241,-0.0245276467043356,-0.0328509555196401,-0.0318790746804146
"beds",0.542253055367443,0.851722646043591,0.794342667194726,1,0.0642143560440077,-0.0238868733926587,-0.00942327743019203,0.0352601679844554,0.0223149878347119,0.0226157831613026,0.0238868733926587
"review_scores_rating",0.110413851628543,0.0949257701231678,0.0981043189331647,0.0642143560440077,1,0.081209885005792,0.0913843422760432,-0.146343777091089,-0.157547232458487,-0.153994453264645,-0.081209885005792
"occupancy_rate",0.0402981701501813,-0.00708535114438985,0.0318790746804146,-0.0238868733926587,0.081209885005792,1,0.174252166976915,-0.334908270160225,-0.399787328279834,-0.477991001425398,-1
"total_reviews",-0.00538433818789833,-0.0329040019683764,-0.0509297022831553,-0.00942327743019203,0.0913843422760432,0.174252166976915,1,-0.132871865917371,-0.130480791880224,-0.143293634958627,-0.174252166976915
"availability_30",0.0939301261922018,0.0315122558514851,-0.0126637584654241,0.0352601679844554,-0.146343777091089,-0.334908270160225,-0.132871865917371,1,0.906993237145125,0.822799134167717,0.334908270160225
"availability_60",0.0701263618251991,0.0141955240643921,-0.0245276467043356,0.0223149878347119,-0.157547232458487,-0.399787328279834,-0.130480791880224,0.906993237145125,1,0.950105941533052,0.399787328279834
"availability_90",0.056490619256637,0.00741174923080962,-0.0328509555196401,0.0226157831613026,-0.153994453264645,-0.477991001425398,-0.143293634958627,0.822799134167717,0.950105941533052,1,0.477991001425398
"availability_365",-0.0402981701501813,0.00708535114438985,-0.0318790746804146,0.0238868733926587,-0.081209885005792,-1,-0.174252166976915,0.334908270160225,0.399787328279834,0.477991001425398,1
