Column,Data Type,Missing Values,Unique Values
id,int64,0,4378
listing_url,str,0,4378
scrape_id,int64,0,1
last_scraped,str,0,3
source,str,0,2
name,str,0,4184
description,str,59,3236
neighborhood_overview,float64,4378,0
picture_url,str,0,4260
host_id,int64,0,1406
host_url,str,0,1406
host_profile_id,float64,18,1399
host_profile_url,str,30,1400
host_name,str,18,992
host_since,float64,4378,0
hosts_time_as_user_years,float64,18,18
hosts_time_as_user_months,float64,18,12
hosts_time_as_host_years,float64,18,16
hosts_time_as_host_months,float64,18,12
host_location,str,1025,114
host_about,str,1580,752
host_response_time,float64,4378,0
host_response_rate,float64,4378,0
host_acceptance_rate,float64,4378,0
host_is_superhost,str,18,2
host_thumbnail_url,float64,4378,0
host_picture_url,str,18,1390
host_neighbourhood,float64,4378,0
host_listings_count,float64,18,73
host_total_listings_count,float64,4378,0
host_verifications,float64,4378,0
host_has_profile_pic,str,18,2
host_identity_verified,str,18,2
neighbourhood,float64,4378,0
neighbourhood_cleansed,str,0,25
neighbourhood_group_cleansed,float64,4378,0
latitude,float64,0,3382
longitude,float64,0,3439
property_type,str,0,29
room_type,str,0,4
accommodates,int64,0,16
bathrooms,float64,1030,13
bathrooms_text,str,35,27
bedrooms,float64,1261,12
beds,float64,929,18
amenities,str,0,3656
price,float64,685,2528
price_quote_checkin_date,str,456,230
price_quote_checkout_date,str,456,286
price_quote_total_price,float64,685,2509
price_quote_price_per_night,float64,685,2528
price_quote_raw,str,456,3558
minimum_nights,int64,0,42
maximum_nights,int64,0,106
minimum_minimum_nights,int64,0,42
maximum_minimum_nights,int64,0,52
minimum_maximum_nights,int64,0,104
maximum_maximum_nights,int64,0,106
minimum_nights_avg_ntm,float64,0,194
maximum_nights_avg_ntm,float64,0,249
calendar_updated,float64,4378,0
has_availability,str,33,2
availability_30,int64,0,31
availability_60,int64,0,61
availability_90,int64,0,91
availability_365,int64,0,365
calendar_last_scraped,str,0,3
number_of_reviews,int64,0,399
number_of_reviews_ltm,int64,0,112
number_of_reviews_l30d,int64,0,19
availability_eoy,int64,0,201
number_of_reviews_ly,int64,0,112
estimated_occupancy_l365d,int64,0,77
estimated_revenue_l365d,float64,685,2401
first_review,str,901,1989
last_review,str,901,887
review_scores_rating,float64,901,125
review_scores_accuracy,float64,902,113
review_scores_cleanliness,float64,901,125
review_scores_checkin,float64,902,95
review_scores_communication,float64,901,103
review_scores_location,float64,902,124
review_scores_value,float64,902,137
license,str,1228,1828
instant_bookable,float64,4378,0
calculated_host_listings_count,int64,0,41
calculated_host_listings_count_entire_homes,int64,0,32
calculated_host_listings_count_private_rooms,int64,0,23
calculated_host_listings_count_shared_rooms,int64,0,2
reviews_per_month,float64,901,617
